id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,result,method,round,time
1,unknown,unknown,Israel Adesanya,185 lbs.,"6' 4""","80""","Jul 22, 1989",0.8666666666666667,18.866666666666667,-1.2,0.2,0.8666666666666667,1,15,13,24-2-0,10,Sean Strickland,185 lbs.,"6' 1""","76""","Feb 27, 1991",0.10526315789473684,22.31578947368421,0.5263157894736842,0.21052631578947367,0.7368421052631579,2,19,14,27-5-0,0,unknown,unknown,unknown,unknown
2,unknown,unknown,Aljamain Sterling,135 lbs.,"5' 7""","71""","Jul 31, 1989",-0.2631578947368421,30.63157894736842,0.5263157894736842,0.631578947368421,0.7894736842105263,0,19,15,23-4-0,5,Sean O'Malley,135 lbs.,"5' 11""","72""","Oct 24, 1994",0.6666666666666666,32.75,-0.75,0.25,0.8333333333333334,2,12,10,17-1-0 (1 NC),1,unknown,unknown,unknown,unknown
3,unknown,unknown,Zhang Weili,115 lbs.,"5' 4""","63""","Aug 13, 1989",0.2,31.1,1.6,0,0.8,3,10,8,24-3-0,6,Amanda Lemos,115 lbs.,"5' 4""","65""","May 22, 1987",0.4,-10.3,-0.3,0.4,0.7,0,10,7,13-3-1,1,unknown,unknown,unknown,unknown
4,unknown,unknown,Ian Garry,170 lbs.,"6' 3""","74""","Nov 17, 1997",0.5,34.666666666666664,-0.16666666666666666,0,1.0,6,6,6,13-0-0,0,Neil Magny,170 lbs.,"6' 3""","80""","Aug 03, 1987",-0.1935483870967742,13.35483870967742,0.4838709677419355,-0.03225806451612903,0.6774193548387096,0,31,21,28-12-0,0,unknown,unknown,unknown,unknown
5,unknown,unknown,Mario Bautista,135 lbs.,"5' 9""","69""","Jul 01, 1993",-0.1111111111111111,8.88888888888889,0.3333333333333333,0.4444444444444444,0.7777777777777778,5,9,7,13-2-0,0,Da'Mon Blackshear,135 lbs.,"5' 10""","72""","Aug 12, 1994",0,2.2,0.4,0,0.4,0,5,2,14-6-1,0,unknown,unknown,unknown,unknown
6,unknown,unknown,Marlon Vera,135 lbs.,"5' 8""","70""","Dec 02, 1992",0.5454545454545454,-10.090909090909092,-0.5,0.8181818181818182,0.6818181818181818,1,22,15,21-8-1,0,Pedro Munhoz,135 lbs.,"5' 6""","65""","Sep 07, 1986",0.35,-7.65,-0.15,0.4,0.5,0,20,10,20-8-0 (2 NC),0,unknown,unknown,unknown,unknown
7,unknown,unknown,Chris Weidman,185 lbs.,"6' 2""","78""","Jun 17, 1984",-0.05555555555555555,-2.888888888888889,1.9444444444444444,0.5,0.6111111111111112,0,18,11,15-7-0,5,Brad Tavares,185 lbs.,"6' 1""","74""","Dec 21, 1987",-0.13043478260869565,4.608695652173913,-0.17391304347826086,-0.34782608695652173,0.6521739130434783,1,23,15,20-9-0,0,unknown,unknown,unknown,unknown
8,unknown,unknown,Gregory Rodrigues,185 lbs.,"6' 3""","75""","Feb 17, 1992",0.25,2.25,1.125,0.25,0.625,1,8,5,14-5-0,0,Denis Tiuliulin,185 lbs.,"6' 1""","77""","May 17, 1988",0.5,-4.5,-1,-0.5,0.25,0,4,1,10-8-0 (1 NC),0,unknown,unknown,unknown,unknown
9,unknown,unknown,Kurt Holobaugh,155 lbs.,"5' 11""","70""","Sep 08, 1986",0.14285714285714285,4.428571428571429,-1.2857142857142858,-0.42857142857142855,0.14285714285714285,1,7,1,21-7-0 (1 NC),0,Austin Hubbard,155 lbs.,"5' 10""","71""","Dec 22, 1991",0,5.625,-0.5,-0.5,0.375,0,8,3,16-7-0,0,unknown,unknown,unknown,unknown
10,unknown,unknown,Brad Katona,135 lbs.,"5' 6""","64""","Dec 19, 1991",0,3.4,-0.8,-0.2,0.6,1,5,3,15-2-0,1,Cody Gibson,135 lbs.,"5' 10""","71""","Sep 11, 1987",0.2,0.2,0,-0.6,0.2,0,5,1,20-9-0,0,unknown,unknown,unknown,unknown
11,unknown,unknown,Gerald Meerschaert,185 lbs.,"6' 1""","77""","Dec 18, 1987",-0.05263157894736842,-1.631578947368421,0.10526315789473684,0.47368421052631576,0.5263157894736842,0,19,10,35-17-0,0,Andre Petroski,185 lbs.,"6' 0""","73""","Jun 12, 1991",0.2,8.2,3.2,1.8,1.0,5,5,5,10-2-0,0,unknown,unknown,unknown,unknown
12,unknown,unknown,Andrea Lee,125 lbs.,"5' 6""","69""","Feb 11, 1989",0.09090909090909091,17.09090909090909,-0.2727272727272727,0.18181818181818182,0.45454545454545453,0,11,5,13-8-0,0,Natalia Silva,125 lbs.,"5' 4""","65""","Feb 03, 1997",0.5,33,0.25,-0.5,1.0,4,4,4,16-5-1,0,unknown,unknown,unknown,unknown
13,unknown,unknown,Maryna Moroz,125 lbs.,"5' 7""","67""","Sep 08, 1991",-0.18181818181818182,-3.3636363636363638,-0.45454545454545453,0.2727272727272727,0.5454545454545454,0,11,6,11-5-0,0,Karine Silva,125 lbs.,"5' 5""","67""","Dec 02, 1993",0.25,0,0.25,1.25,1.0,4,4,4,17-4-0,0,unknown,unknown,unknown,unknown
